Date,Bond Code,ISIN Code,Ticker,ISSUER,ISSUER_INDUSTRY,PAYMENT_RANK,Maturity,DAYS_TO_NEXT_COUPON,NXT_CPN_DT,Coupon,Companion Bond,BP Spread,MTM,All in price,Clean Price,Accrued Interest,Year High Yield,Year Low Yield,Return (YTD),Duration,Modified Duration,Delta,Rand per Basis Point,Convexity,Yield Volatility,Yield / Price Indicator,Last Trade Date,Last MTM Change Date,Index Ratio,Base CPI,Reference CPI,MTM Process Methodology,MTM Change
2026/03/17,ABFN09,ZAG000084765,ZAG000084765 Corp,ABSA BANK LTD,BANK,Sr Unsecured,17-Mar-26,33,2023/06/19,9.483,JIBAR,195,,101.3870658,99.95812062,1.428945205,100,100,0,,0,,,,,Price,14-Jun-22,16-Apr-20,,,,Price Traded Methodology,
2023/09/26,ABFN18,ZAG000139684,ZAG000139684 Corp,ABSA BANK LTD,BANK,Sr Unsecured,26-Sep-23,40,2023/06/26,9.388,JIBAR,102,,101.4092176,100.2517929,1.157424658,100,100,0,,0,,,,,Price,15-Feb-23,20-Jun-22,,,,Price Traded Methodology,
2024/05/30,ABFN22,ZAG000144239,ZAG000144239 Corp,ABSA BANK LTD,BANK,Sr Unsecured,30-May-24,13,2023/05/30,9.3,JIBAR,99,,102.668804,100.8342834,1.834520548,100,100,0,,0,,,,,Price,05-May-23,04-May-23,,,,Price Traded Methodology,
2027/05/25,ABFN23,ZAG000144296,ZAG000144296 Corp,ABSA BANK LTD,BANK,Sr Unsecured,25-May-27,8,2023/05/25,9.5,JIBAR,135,,104.2123586,102.3123586,1.9,100,100,0,,0,,,,,Price,29-Mar-23,04-Jan-23,,,,Price Traded Methodology,
2024/10/17,ABFN25,ZAG000147380,ZAG000147380 Corp,ABSA BANK LTD,BANK,Sr Unsecured,17-Oct-24,61,2023/07/17,9.625,JIBAR,100,,101.5019849,100.8691082,0.632876712,100,100,0,,0,,,,,Price,24-Mar-23,26-Feb-23,,,,Price Traded Methodology,
2029/10/17,ABFN26,ZAG000147406,ZAG000147406 Corp,ABSA BANK LTD,BANK,Sr Unsecured,17-Oct-29,61,2023/07/17,10.025,JIBAR,143,,103.5987809,102.9396028,0.659178082,100,100,0,,0,,,,,Price,06-Apr-23,05-Apr-23,,,,Price Traded Methodology,
2023/08/29,ABFN28,ZAG000153719,ZAG000153719 Corp,ABSA BANK LTD,BANK,Sr Unsecured,29-Aug-23,12,2023/05/29,8.8,JIBAR,71,,101.9055132,100.1696228,1.735890411,100,100,0,,0,,,,,Price,05-Apr-23,04-Apr-23,,,,Price Traded Methodology,
2025/08/29,ABFN29,ZAG000153727,ZAG000153727 Corp,ABSA BANK LTD,BANK,Sr Unsecured,29-Aug-25,12,2023/05/29,8.95,JIBAR,113,,102.5056432,100.7401638,1.765479452,100,100,0,,0,,,,,Price,26-Apr-23,25-Apr-23,,,,Price Traded Methodology,
2028/08/29,ABFN30,ZAG000153735,ZAG000153735 Corp,ABSA BANK LTD,BANK,Sr Unsecured,29-Aug-28,12,2023/05/29,9.15,JIBAR,150.25,,102.5966057,100.7916742,1.804931507,100,100,0,,0,,,,,Price,23-Nov-22,22-Nov-22,,,,Price Traded Methodology,
2023/11/15,ABFN32,ZAG000155409,ZAG000155409 Corp,ABSA BANK LTD,BANK,Sr Unsecured,15-Nov-23,90,2023/08/15,8.8,JIBAR,75,,100.2010695,100.2975078,-0.096438356,100,100,0,,0,,,,,Price,05-May-23,04-Apr-23,,,,Price Traded Methodology,
2024/11/15,ABFN33,ZAG000155391,ZAG000155391 Corp,ABSA BANK LTD,BANK,Sr Unsecured,15-Nov-24,90,2023/08/15,8.85,JIBAR,108,,100.3495844,100.4465707,-0.096986301,100,100,0,,0,,,,,Price,26-Apr-23,27-Dec-22,,,,Price Traded Methodology,
2024/02/07,ABFN35,ZAG000156795,ZAG000156795 Corp,ABSA BANK LTD,BANK,Sr Unsecured,07-Feb-24,82,2023/08/07,9.333,JIBAR,82.5,,100.3852271,100.3107277,0.07449941,100,100,0,,0,,,,,Price,18-Apr-23,17-Apr-23,,,,Price Traded Methodology,
2026/02/07,ABFN36,ZAG000156803,ZAG000156803 Corp,ABSA BANK LTD,BANK,Sr Unsecured,07-Feb-26,82,2023/08/07,9.443,JIBAR,124,,100.5399029,100.4644994,0.075403519,100,100,0,,0,,,,,Price,24-Mar-23,01-Feb-23,,,,Price Traded Methodology,
2029/02/07,ABFN37,ZAG000156811,ZAG000156811 Corp,ABSA BANK LTD,BANK,Sr Unsecured,07-Feb-29,82,2023/08/07,9.673,JIBAR,147.5,,100.9514989,100.8742049,0.07729393,100,100,0,,0,,,,,Price,07-Feb-23,27-Oct-22,,,,Price Traded Methodology,
2024/09/16,ABFN40,ZAG000162355,ZAG000162355 Corp,ABSA BANK LTD,BANK,Sr Unsecured,16-Sep-24,33,2023/06/19,8.777,JIBAR,100,,101.6310807,100.2844725,1.346608219,100,100,0,,0,,,,,Price,03-Apr-23,22-Mar-23,,,,Price Traded Methodology,
2026/09/16,ABFN41,ZAG000162371,ZAG000162371 Corp,ABSA BANK LTD,BANK,Sr Unsecured,16-Sep-26,33,2023/06/19,8.877,JIBAR,134,,101.3758499,100.0138992,1.361950685,100,100,0,,0,,,,,Price,24-Mar-23,23-Oct-22,,,,Price Traded Methodology,
2029/09/16,ABFN42,ZAG000162389,ZAG000162389 Corp,ABSA BANK LTD,BANK,Sr Unsecured,16-Sep-29,33,2023/06/19,8.997,JIBAR,142,,101.6188602,100.2384986,1.380361644,100,100,0,,0,,,,,Price,26-Apr-23,25-Apr-23,,,,Price Traded Methodology,
2024/10/14,ABFN44,ZAG000163320,ZAG000163320 Corp,ABSA BANK LTD,BANK,Sr Unsecured,14-Oct-24,58,2023/07/14,9.218,JIBAR,126,,100.6827558,100.0008763,0.681879452,100,100,0,,0,,,,,Price,28-Mar-23,06-May-23,,,,Price Traded Methodology,
2026/10/14,ABFN45,ZAG000163338,ZAG000163338 Corp,ABSA BANK LTD,BANK,Sr Unsecured,14-Oct-26,58,2023/07/14,9.318,JIBAR,136,,100.6900192,100.0007425,0.689276712,100,100,0,,0,,,,,Price,28-Mar-23,06-May-23,,,,Price Traded Methodology,
2025/06/24,ABFN46,ZAG000168998,ZAG000168998 Corp,ABSA BANK LTD,BANK,Sr Unsecured,24-Jun-25,40,2023/06/26,8.975,JIBAR,142.5,,101.1326517,99.9523777,1.180273973,100,100,0,,0,,,,,Price,23-Jun-20,06-May-23,,,,Price Traded Methodology,
2023/08/24,ABFN47,ZAG000170366,ZAG000170366 Corp,ABSA BANK LTD,BANK,Sr Unsecured,24-Aug-23,7,2023/05/24,8.225,JIBAR,77.5,,101.7003924,99.98778968,1.71260274,100,100,0,,0,,,,,Price,30-Nov-22,24-Nov-22,,,,Price Traded Methodology,
2025/08/24,ABFN48,ZAG000170374,ZAG000170374 Corp,ABSA BANK LTD,BANK,Sr Unsecured,24-Aug-25,7,2023/05/24,8.45,JIBAR,100,,101.7469664,99.98751433,1.759452055,100,100,0,,0,,,,,Price,04-Nov-22,06-May-23,,,,Price Traded Methodology,
2024/03/30,ABFN49,ZAG000173782,ZAG000173782 Corp,ABSA BANK LTD,BANK,Sr Unsecured,30-Mar-24,44,2023/06/30,8.675,JIBAR,85,,101.1605635,100.1623443,0.998219178,100,100,0,,0,,,,,Price,05-Apr-23,04-Apr-23,,,,Price Traded Methodology,
2026/03/30,ABFN50,ZAG000173790,ZAG000173790 Corp,ABSA BANK LTD,BANK,Sr Unsecured,30-Mar-26,44,2023/06/30,8.815,JIBAR,130,,100.8158916,99.80156285,1.014328767,100,100,0,,0,,,,,Price,29-Mar-23,30-Aug-22,,,,Price Traded Methodology,
2028/03/30,ABFN51,ZAG000173808,ZAG000173808 Corp,ABSA BANK LTD,BANK,Sr Unsecured,30-Mar-28,44,2023/06/30,9.065,JIBAR,131,,101.6919575,100.6488616,1.04309589,100,100,0,,0,,,,,Price,04-May-23,27-Mar-23,,,,Price Traded Methodology,
2031/03/30,ABFN52,ZAG000173816,ZAG000173816 Corp,ABSA BANK LTD,BANK,Sr Unsecured,30-Mar-31,44,2023/06/30,9.145,JIBAR,160,,100.8417344,99.78943306,1.05230137,100,100,0,,0,,,,,Price,02-May-23,30-Mar-23,,,,Price Traded Methodology,
2025/02/14,ABFN53,ZAG000183278,ZAG000183278 Corp,ABSA BANK LTD,BANK,Sr Unsecured,14-Feb-25,89,2023/08/14,8.62,JIBAR,102,,100.1460857,100.2405515,-0.094465753,100,100,0,,0,,,,,Price,14-Apr-23,27-Mar-23,,,,Price Traded Methodology,
2027/02/14,ABFN54,ZAG000183286,ZAG000183286 Corp,ABSA BANK LTD,BANK,Sr Unsecured,14-Feb-27,89,2023/08/14,8.8,JIBAR,132,,99.99633529,100.0927736,-0.096438356,100,100,0,,0,,,,,Price,24-Mar-23,05-Jan-23,,,,Price Traded Methodology,
2029/02/14,ABFN55,ZAG000183294,ZAG000183294 Corp,ABSA BANK LTD,BANK,Sr Unsecured,14-Feb-29,89,2023/08/14,8.95,JIBAR,150,,99.90050734,99.99858953,-0.098082192,100,100,0,,0,,,,,Price,16-Mar-23,06-May-23,,,,Price Traded Methodology,
2027/11/08,ABFN56,ZAG000191586,ZAG000191586 Corp,ABSA BANK LTD,BANK,Sr Unsecured,08-Nov-27,22,2023/06/08,8.933,JIBAR,128,,102.1329225,100.5665882,1.566334247,100,100,0,,0,,,,,Price,22-Mar-23,21-Mar-23,,,,Price Traded Methodology,
2025/11/14,ABFN57,ZAG000191859,ZAG000191859 Corp,ABSA BANK LTD,BANK,Sr Unsecured,14-Nov-25,89,2023/08/14,8.65,JIBAR,120,,99.9038952,99.99868972,-0.094794521,100,100,0,,0,,,,,Price,16-Nov-22,06-May-23,,,,Price Traded Methodology,
2027/11/14,ABFN58,ZAG000191867,ZAG000191867 Corp,ABSA BANK LTD,BANK,Sr Unsecured,14-Nov-27,89,2023/08/14,8.9,JIBAR,145,,99.90109197,99.99862621,-0.097534247,100,100,0,,0,,,,,Price,25-Apr-23,06-May-23,,,,Price Traded Methodology,
2026/04/05,ABFN60,ZAG000193814,ZAG000193814 Corp,ABSA BANK LTD,BANK,Sr Unsecured,05-Apr-26,49,2023/07/05,9.038,JIBAR,108,,100.8941251,100.002706,0.891419178,100,100,0,,0,,,,,Price,05-Apr-23,06-May-23,,,,Price Traded Methodology,
2028/02/24,ABFN61,ZAG000193822,ZAG000193822 Corp,ABSA BANK LTD,BANK,Sr Unsecured,24-Feb-28,7,2023/05/24,8.77,JIBAR,121,,102.2340083,100.4079261,1.826082192,100,100,0,,0,,,,,Price,02-May-23,02-May-23,,,,Price Traded Methodology,
2030/02/24,ABFN62,ZAG000193830,ZAG000193830 Corp,ABSA BANK LTD,BANK,Sr Unsecured,24-Feb-30,7,2023/05/24,8.87,JIBAR,137,,102.0802692,100.2333651,1.84690411,100,100,0,,0,,,,,Price,23-Mar-23,22-Mar-23,,,,Price Traded Methodology,
2025/06/27,ABGN01,ZAG000187436,ZAG000187436 Corp,ABSA BANK LTD,BANK,Sr Unsecured,27-Jun-25,42,2023/06/27,8.758,JIBAR,110,,101.2240711,100.1443176,1.079753425,100,100,0,,0,,,,,Price,05-Apr-23,07-Feb-23,,,,Price Traded Methodology,
2027/06/27,ABGN02,ZAG000187428,ZAG000187428 Corp,ABSA BANK LTD,BANK,Sr Unsecured,27-Jun-27,41,2023/06/27,8.988,JIBAR,130,,101.5013219,100.3932123,1.108109589,100,100,0,,0,,,,,Price,26-Apr-23,19-Jan-23,,,,Price Traded Methodology,
2029/06/27,ABGN03,ZAG000187410,ZAG000187410 Corp,ABSA BANK LTD,BANK,Sr Unsecured,27-Jun-29,41,2023/06/27,9.108,JIBAR,154,,101.1208865,99.9979824,1.12290411,100,100,0,,0,,,,,Price,29-Mar-23,20-Nov-22,,,,Price Traded Methodology,
2024/12/03,ABJ01,ZAG000164914,ZAG000164914 Corp,AFRICAN BANK LTD,FINANCIAL,Sr Unsecured,03-Dec-24,19,2023/06/05,11.267,JIBAR,257,,103.8501187,101.7201927,2.129926027,100,100,0,,0,,,,,Price,02-May-23,24-Nov-22,,,,Price Traded Methodology,
2024/03/31,ABJ02,ZAG000175241,ZAG000175241 Corp,AFRICAN BANK LTD,FINANCIAL,Sr Unsecured,31-Mar-24,44,2023/06/30,10.898,JIBAR,155,,102.3907434,101.1665845,1.224158904,100,100,0,,0,,,,,Price,25-Apr-23,23-Jan-23,,,,Price Traded Methodology,
2024/09/14,ABJ03,ZAG000179607,ZAG000179607 Corp,AFRICAN BANK LTD,FINANCIAL,Sr Unsecured,14-Sep-24,28,2023/06/14,10.2,JIBAR,253,,101.7920467,100.1712248,1.620821918,100,100,0,,0,,,,,Price,21-Apr-23,20-Apr-23,,,,Price Traded Methodology,
2025/03/30,ABJ04,ZAG000184680,ZAG000184680 Corp,AFRICAN BANK LTD,FINANCIAL,Sr Unsecured,30-Mar-25,44,2023/06/30,10.165,JIBAR,259,,101.1192452,99.94957395,1.169671233,100,100,0,,0,,,,,Price,27-Jan-23,03-Oct-22,,,,Price Traded Methodology,
2027/03/30,ABJ05,ZAG000184698,ZAG000184698 Corp,AFRICAN BANK LTD,FINANCIAL,Sr Unsecured,30-Mar-27,44,2023/06/30,10.575,JIBAR,300,,101.1658744,99.94902506,1.216849315,100,100,0,,0,,,,,Price,19-Dec-22,06-May-23,,,,Price Traded Methodology,
2024/03/13,ABKI04,ZAG000134578,ZAG000134578 Corp,AFRICAN BANK LTD,FINANCIAL,Sr Unsecured,13-Mar-24,119,2023/09/13,5.75,I2025,457,7.89,160.5619901,159.0576608,1.5043293,8.04,7.69,-0.01,0.8255594,0.794227151,,127.5226919,1.0191861,,Price,05-Apr-23,21-Sep-22,,,,Inflation Linked Methodology,
2025/01/31,ABN61,ZAG000099565,ZAG000099565 Corp,ABSA BANK LTD,BANK,Sr Unsecured,31-Jan-25,75,2023/07/31,2,I2025,30,3.62,168.10164,167.16045,0.94119,3.77,3.42,-0.01,1.6937068,1.663595748,-2.79653175,279.6531753,3.6176564,,Price,25-Jan-23,26-Nov-20,1.717661163,62.50246954,107.3580645,Inflation Linked Methodology,
2028/03/31,ABN62,ZAG000099573,ZAG000099573 Corp,ABSA BANK LTD,BANK,Sr Unsecured,31-Mar-28,136,2023/09/30,2.6,R210,77,4.47,217.47366,216.78449,0.68917,4.765,4.34,-0.02,4.5934989,4.493078625,-9.77126292,977.1262925,23.2094117,,Price,16-Feb-23,21-Jul-21,2.35976893,45.49515978,107.3580645,Inflation Linked Methodology,
2033/12/07,ABN63,ZAG000099581,ZAG000099581 Corp,ABSA BANK LTD,BANK,Sr Unsecured,07-Dec-33,21,2023/06/07,3.45,R202,50,5.1,241.61754,237.59992,4.01762,5.29,4.89,0.03,8.6543687,8.439169852,-20.39051414,2039.051414,85.4778058,,Price,28-Nov-22,10-Sep-20,2.742271471,39.14932043,107.3580645,Inflation Linked Methodology,
2026/12/21,ABN79,ZAG000106816,ZAG000106816 Corp,ABSA BANK LTD,BANK,Sr Unsecured,21-Dec-26,35,2023/06/21,10.5,R186,-2.5,8.715,109.47976,105.4236,4.05616,8.825,7.935,0,3.0004263,2.875142009,-3.14769876,314.769876,10.740389,,Price,23-Jul-21,05-Aug-20,,,,Illiquid Methodology,
2025/11/11,ABS16,ZAG000130956,ZAG000130956 Corp,ABSA BANK LTD,BANK,Sr Unsecured,11-Nov-25,178,2023/11/11,10.395,R186,57.5,9.315,102.36022,102.36022,0,9.425,8.35,0.02,2.2679731,2.167043023,-2.21818998,221.8189983,6.0047334,,Rate,08-Mar-23,08-Mar-23,,,,Illiquid Methodology,
2027/11/11,ABS17,ZAG000130980,ZAG000130980 Corp,ABSA BANK LTD,BANK,Sr Unsecured,11-Nov-27,178,2023/11/11,10.635,R186,38.5,9.125,105.47252,105.47252,0,9.235,8.345,0,3.7149342,3.552836064,-3.74726569,374.7265691,15.852975,,Rate,22-Dec-22,15-Mar-22,,,,Illiquid Methodology,
2023/09/26,ABS18,ZAG000139668,ZAG000139668 Corp,ABSA BANK LTD,BANK,Sr Unsecured,26-Sep-23,132,2023/09/26,9.84,R186,-39,8.35,101.70906,100.46895,1.24011,8.46,7.9,0.05,0.3818133,0.366511475,-0.37277537,37.27753719,0.2686613,,Rate,02-Mar-23,22-Feb-23,,,,Illiquid Methodology,
2028/02/24,ABS19,ZAG000193848,ZAG000193848 Corp,ABSA BANK LTD,BANK,Sr Unsecured,24-Feb-28,99,2023/08/24,9.67,R186,97,9.71,101.85191,99.83843,2.01348,9.82,9.26,0,3.8693971,3.690236122,-3.75857609,375.8576086,17.3523049,,Price,03-May-23,22-Mar-23,,,,Illiquid Methodology,
2026/09/11,ABS7,ZAG000043985,ZAG000043985 Corp,ABSA BANK LTD,BANK,Sr Unsecured,11-Sep-26,117,2023/09/11,8.8,R186,79,9.53,99.39192,97.92124,1.47068,9.64,8.6,0.01,2.9162987,2.783657464,-2.76673085,276.6730851,9.7624528,,Rate,25-Apr-23,20-Apr-23,,,,Illiquid Methodology,
2023/12/07,ABSI2,ZAG000074378,ZAG000074378 Corp,ABSA BANK LTD,BANK,Sr Unsecured,07-Dec-23,21,2023/06/07,5.5,R197,100,3.4,335.26421,327.70021,7.564,4.9,3.348,-0.29,0.560927,0.551550596,-1.84915169,184.9151692,0.5816087,,Rate,28-Apr-23,12-Oct-22,3.238540589,33.15013709,107.3580645,Inflation Linked Methodology,
2024/07/10,ABX01,ZAG000160870,ZAG000160870 Corp,AFRICAN BANK LTD,FINANCIAL,Sr Unsecured,10-Jul-24,54,2023/07/10,10.93,R186,285,11.59,102.91829,99.29492,3.62337,11.7,10.81,0,1.0889963,1.029345697,-1.05938499,105.9384993,1.5983393,,Price,17-Mar-23,10-Jul-19,,,,Illiquid Methodology,
2025/12/20,ACL097,ZAG000081845,ZAG000081845 Corp,ABSA BANK LTD,BANK,Sr Unsecured,20-Dec-25,34,2023/06/20,10.183,JIBAR,265,,101.4064824,99.9557536,1.450728767,100,100,0,,0,,,,,Price,11-Jun-19,10-Jun-19,,,,Price Traded Methodology,
2025/12/20,ACL098,ZAG000082074,ZAG000082074 Corp,ABSA BANK LTD,BANK,Sr Unsecured,20-Dec-25,34,2023/06/20,9.983,JIBAR,245,,101.3783366,99.95610095,1.422235616,100,100,0,,0,,,,,Price,11-Jun-19,10-Jun-19,,,,Price Traded Methodology,
2023/12/20,ACL217,ZAG000109794,ZAG000109794 Corp,ABSA BANK LTD,BANK,Sr Unsecured,20-Dec-23,34,2023/06/20,9.643,JIBAR,211,,101.3308011,99.95700384,1.37379726,100,100,0,,0,,,,,Price,19-Nov-19,03-Feb-14,,,,Price Traded Methodology,
2023/09/11,AECI02,ZAG000153982,ZAG000153982 Corp,AECI LIMITED,INDUSTRIAL,Sr Unsecured,11-Sep-23,26,2023/06/12,9.25,JIBAR,115,,101.6567319,100.1615264,1.495205479,100,100,0,,0,,,,,Price,29-Nov-22,24-Nov-22,,,,Price Traded Methodology,
2023/11/21,AECI04,ZAG000155235,ZAG000155235 Corp,AECI LIMITED,INDUSTRIAL,Sr Unsecured,21-Nov-23,5,2023/05/22,9.01,JIBAR,135,,99.83165826,100.1031925,-0.271534247,100,100,0,,0,,,,,Price,20-Nov-18,11-Nov-21,,,,Price Traded Methodology,
2028/11/29,AGL01,ZAG000155615,ZAG000155615 Corp,ABSA GROUP LTD,FINANCIAL,Subordinated,29-Nov-23,12,2023/05/29,9.9,JIBAR,150,,102.4392648,100.4863881,1.952876712,100,100,0,,0,,,,,Price,25-Apr-23,09-Aug-22,,,,Price Traded Methodology,
2029/04/11,AGL02,ZAG000158452,ZAG000158452 Corp,ABSA GROUP LTD,FINANCIAL,Subordinated,11-Apr-24,55,2023/07/11,10.358,JIBAR,141,,101.714053,100.8627106,0.851342466,100,100,0,,0,,,,,Price,06-Apr-23,28-Feb-23,,,,Price Traded Methodology,
2030/05/17,AGL03,ZAG000166125,ZAG000166125 Corp,ABSA GROUP LTD,FINANCIAL,Subordinated,17-May-25,92,2023/08/17,9.58,JIBAR,168,,100.656871,100.8143505,-0.157479452,100,100,0,,0,,,,,Price,02-May-23,25-Apr-23,,,,Price Traded Methodology,
2032/09/16,AGLG01,ZAG000189580,ZAG000189580 Corp,ABSA GROUP LTD,FINANCIAL,Subordinated,16-Sep-27,33,2023/06/19,9.617,JIBAR,190,,102.1295321,100.6540472,1.475484932,100,100,0,,0,,,,,Price,03-May-23,03-May-23,,,,Price Traded Methodology,
#N/A Field Not Applicable,AGT01,ZAG000154527,ZAG000154527 Corp,ABSA GROUP LTD,FINANCIAL,Jr Subordinated,10-Oct-23,54,2023/07/10,12.708,JIBAR,172,,102.2658659,101.2213727,1.044493151,100,100,0,,0,,,,,Price,05-May-23,12-Apr-23,,,,Price Traded Methodology,
#N/A Field Not Applicable,AGT02,ZAG000159476,ZAG000159476 Corp,ABSA GROUP LTD,FINANCIAL,Jr Subordinated,28-Nov-24,12,2023/05/29,11.95,JIBAR,220,,105.5945381,103.2372779,2.357260274,100,100,0,,0,,,,,Price,05-May-23,21-Mar-23,,,,Price Traded Methodology,
#N/A Field Not Applicable,AGT03,ZAG000164906,ZAG000164906 Corp,ABSA GROUP LTD,FINANCIAL,Jr Subordinated,05-Jun-25,19,2023/06/05,11.717,JIBAR,263.489,,105.0479638,102.9292734,2.118690411,100,100,0,,0,,,,,Price,20-Apr-23,19-Apr-23,,,,Price Traded Methodology,
2099/12/31,AGT04,ZAG000171893,ZAG000171893 Corp,ABSA GROUP LTD,FINANCIAL,Jr Subordinated,27-Oct-25,71,2023/07/27,12.508,JIBAR,252,,104.7902952,104.3448047,0.445490411,100,100,0,,0,,,,,Price,03-May-23,27-Apr-23,,,,Price Traded Methodology,
#N/A Field Not Applicable,AGT05,ZAG000191925,ZAG000191925 Corp,ABSA GROUP LTD,FINANCIAL,Jr Subordinated,16-Nov-27,91,2023/08/16,11.03,JIBAR,340,,100.4741713,100.6252672,-0.15109589,100,100,0,,0,,,,,Price,04-May-23,13-Feb-23,,,,Price Traded Methodology,
2055/08/21,AHF6A3,ZAG000188756,ZAG000188756 Corp,AMBER HOUSE FUND II RF,SPECIAL PURPOSE,Secured,21-Aug-24,5,2023/05/22,8.8,JIBAR,135,,101.8942965,99.98963898,1.904657534,100,100,0,,0,,,,,Price,05-Apr-23,06-May-23,,,,Price Traded Methodology,
2024/05/29,AIR04,ZAG000116369,ZAG000116369 Corp,AIRPORTS CO SOUTH AFRICA,FINANCIAL,Sr Unsecured,29-May-24,12,2023/05/29,9.25,R186,188,10.62,102.82645,98.69563,4.13082,10.73,10.17,0.04,0.9837301,0.934127912,-0.96053054,96.05305439,1.362109,,Rate,11-Apr-23,22-Feb-23,,,,Illiquid Methodology,
2030/05/29,AIR05,ZAG000116351,ZAG000116351 Corp,AIRPORTS CO SOUTH AFRICA,FINANCIAL,Sr Unsecured,29-May-30,12,2023/05/29,10,R213,150,12.09,94.75903,90.29328,4.46575,12.14,11.4,0,4.8729238,4.59514711,-4.35431695,435.4316951,29.0412579,,Rate,24-Mar-23,14-Nov-22,,,,Illiquid Methodology,
2027/11/16,AIRF02,ZAG000191602,ZAG000191602 Corp,AIRPORTS CO SOUTH AFRICA,FINANCIAL,Sr Unsecured,16-Nov-27,91,2023/08/16,10,JIBAR,255,,99.86142749,99.99841379,-0.136986301,100,100,0,,0,,,,,Price,15-Nov-22,06-May-23,,,,Price Traded Methodology,
