Date,Bond Code,ISIN Code,Ticker,ISSUER,ISSUER_INDUSTRY,PAYMENT_RANK,DAYS_TO_NEXT_COUPON,NXT_CPN_DT,Maturity,Coupon,Companion Bond,BP Spread,MTM,All in price,Clean Price,Accrued Interest,Year High Yield,Year Low Yield,Return (YTD),Duration,Modified Duration,Delta,Rand per Basis Point,Convexity,Yield Volatility,Yield / Price Indicator,Last Trade Date,Last MTM Change Date,Index Ratio,Base CPI,Reference CPI,MTM Process Methodology,MTM Change
2048/02/28,R2 048,ZAG000096173,ZAG000096173 Corp,REPUBLIC OF SOUTH AFRICA,GOVT NATIONAL,Sr Unsecured,66,2023/08/31,28-Feb-48,8.75,,,12.53,73.25874,71.26901,1.98973,12.625,10.975,0.1,8.1921816,7.709200167,-5.64766251,564.7662513,109.2272394,,Rate,16-May-23,15-May-23,,,,PD Call Down Rates,
2028/12/07,ABCPI3,ZAG000073669,ZAG000073669 Corp,ABSA BANK LTD,BANK,Subordinated,164,2023/12/07,07-Dec-23,5.5,R197,135,4.35,334.83329,326.71108,8.12221,5.25,3.698,-0.16,0.5306469,0.519351057,-1.73896021,173.8960213,0.5300779,,Rate,05-Apr-23,23-Nov-22,3.247103781,33.15013709,107.6419355,Inflation Linked Methodology,
2026/03/17,ABFN09,ZAG000084765,ZAG000084765 Corp,ABSA BANK LTD,BANK,Sr Unsecured,84,2023/09/18,17-Mar-26,9.483,JIBAR,195,,101.6799693,99.96523501,1.714734247,100,100,0,,0,,,,,Price,14-Jun-22,16-Apr-20,,,,Price Traded Methodology,
2023/09/26,ABFN18,ZAG000139684,ZAG000139684 Corp,ABSA BANK LTD,BANK,Sr Unsecured,92,2023/09/26,26-Sep-23,9.388,JIBAR,102,,101.6735031,100.2331524,1.440350685,100,100,0,,0,,,,,Price,15-Feb-23,20-Jun-22,,,,Price Traded Methodology,
2024/05/30,ABFN22,ZAG000144239,ZAG000144239 Corp,ABSA BANK LTD,BANK,Sr Unsecured,65,2023/08/30,30-May-24,9.3,JIBAR,99,,100.6220167,100.8258523,-0.203835616,100,100,0,,0,,,,,Price,11-May-23,10-May-23,,,,Price Traded Methodology,
2027/05/25,ABFN23,ZAG000144296,ZAG000144296 Corp,ABSA BANK LTD,BANK,Sr Unsecured,60,2023/08/25,25-May-27,9.5,JIBAR,135,,102.2018498,102.279932,-0.078082192,100,100,0,,0,,,,,Price,08-May-23,04-Jan-23,,,,Price Traded Methodology,
2024/10/17,ABFN25,ZAG000147380,ZAG000147380 Corp,ABSA BANK LTD,BANK,Sr Unsecured,21,2023/07/17,17-Oct-24,9.625,JIBAR,100,,101.7601274,100.8371822,0.922945205,100,100,0,,0,,,,,Price,24-Mar-23,26-Feb-23,,,,Price Traded Methodology,
2029/10/17,ABFN26,ZAG000147406,ZAG000147406 Corp,ABSA BANK LTD,BANK,Sr Unsecured,21,2023/07/17,17-Oct-29,10.025,JIBAR,144,,103.7708089,102.8095075,0.96130137,100,100,0,,0,,,,,Price,10-May-23,10-May-23,,,,Price Traded Methodology,
2023/08/29,ABFN28,ZAG000153719,ZAG000153719 Corp,ABSA BANK LTD,BANK,Sr Unsecured,64,2023/08/29,29-Aug-23,8.8,JIBAR,71,,99.99756159,100.1663287,-0.168767123,100,100,0,,0,,,,,Price,05-Apr-23,04-Apr-23,,,,Price Traded Methodology,
2025/08/29,ABFN29,ZAG000153727,ZAG000153727 Corp,ABSA BANK LTD,BANK,Sr Unsecured,64,2023/08/29,29-Aug-25,8.95,JIBAR,113,,100.5702711,100.7419149,-0.171643836,100,100,0,,0,,,,,Price,26-Apr-23,25-Apr-23,,,,Price Traded Methodology,
2028/08/29,ABFN30,ZAG000153735,ZAG000153735 Corp,ABSA BANK LTD,BANK,Sr Unsecured,64,2023/08/29,29-Aug-28,9.15,JIBAR,150.25,,100.6145801,100.7900595,-0.175479452,100,100,0,,0,,,,,Price,23-Nov-22,22-Nov-22,,,,Price Traded Methodology,
2023/11/15,ABFN32,ZAG000155409,ZAG000155409 Corp,ABSA BANK LTD,BANK,Sr Unsecured,50,2023/08/15,15-Nov-23,9.433,JIBAR,75,,100.4618671,100.2809603,0.180906849,100,100,0,,0,,,,,Price,15-May-23,04-Apr-23,,,,Price Traded Methodology,
2024/11/15,ABFN33,ZAG000155391,ZAG000155391 Corp,ABSA BANK LTD,BANK,Sr Unsecured,50,2023/08/15,15-Nov-24,9.483,JIBAR,108,,100.6190861,100.4372203,0.181865753,100,100,0,,0,,,,,Price,26-Apr-23,27-Dec-22,,,,Price Traded Methodology,
2024/02/07,ABFN35,ZAG000156795,ZAG000156795 Corp,ABSA BANK LTD,BANK,Sr Unsecured,42,2023/08/07,07-Feb-24,9.333,JIBAR,88,,100.6616432,100.3036651,0.357978082,100,100,0,,0,,,,,Price,15-May-23,15-May-23,,,,Price Traded Methodology,
2026/02/07,ABFN36,ZAG000156803,ZAG000156803 Corp,ABSA BANK LTD,BANK,Sr Unsecured,42,2023/08/07,07-Feb-26,9.443,JIBAR,122,,100.9100574,100.5478601,0.36219726,100,100,0,,0,,,,,Price,10-May-23,09-May-23,,,,Price Traded Methodology,
2029/02/07,ABFN37,ZAG000156811,ZAG000156811 Corp,ABSA BANK LTD,BANK,Sr Unsecured,42,2023/08/07,07-Feb-29,9.673,JIBAR,147.5,,101.2693219,100.8983027,0.371019178,100,100,0,,0,,,,,Price,07-Feb-23,27-Oct-22,,,,Price Traded Methodology,
2024/09/16,ABFN40,ZAG000162355,ZAG000162355 Corp,ABSA BANK LTD,BANK,Sr Unsecured,84,2023/09/18,16-Sep-24,8.777,JIBAR,95,,101.956745,100.3456244,1.611120548,100,100,0,,0,,,,,Price,15-May-23,10-May-23,,,,Price Traded Methodology,
2026/09/16,ABFN41,ZAG000162371,ZAG000162371 Corp,ABSA BANK LTD,BANK,Sr Unsecured,84,2023/09/18,16-Sep-26,8.877,JIBAR,134,,101.6498498,100.0203731,1.629476712,100,100,0,,0,,,,,Price,24-Mar-23,23-Oct-22,,,,Price Traded Methodology,
2029/09/16,ABFN42,ZAG000162389,ZAG000162389 Corp,ABSA BANK LTD,BANK,Sr Unsecured,84,2023/09/18,16-Sep-29,8.997,JIBAR,142,,101.8907689,100.2392648,1.65150411,100,100,0,,0,,,,,Price,15-May-23,25-Apr-23,,,,Price Traded Methodology,
2024/10/14,ABFN44,ZAG000163320,ZAG000163320 Corp,ABSA BANK LTD,BANK,Sr Unsecured,18,2023/07/14,14-Oct-24,9.218,JIBAR,126,,100.9498718,99.99018963,0.959682192,100,100,0,,0,,,,,Price,28-Mar-23,15-May-23,,,,Price Traded Methodology,
2026/10/14,ABFN45,ZAG000163338,ZAG000163338 Corp,ABSA BANK LTD,BANK,Sr Unsecured,18,2023/07/14,14-Oct-26,9.318,JIBAR,136,,100.9601291,99.99003591,0.970093151,100,100,0,,0,,,,,Price,28-Mar-23,15-May-23,,,,Price Traded Methodology,
2025/06/24,ABFN46,ZAG000168998,ZAG000168998 Corp,ABSA BANK LTD,BANK,Sr Unsecured,92,2023/09/26,24-Jun-25,8.975,JIBAR,142.5,,101.4084088,99.9576554,1.450753425,100,100,0,,0,,,,,Price,23-Jun-20,15-May-23,,,,Price Traded Methodology,
2023/08/24,ABFN47,ZAG000170366,ZAG000170366 Corp,ABSA BANK LTD,BANK,Sr Unsecured,59,2023/08/24,24-Aug-23,8.225,JIBAR,77.5,,99.95412957,99.99919807,-0.045068493,100,100,0,,0,,,,,Price,30-Nov-22,24-Nov-22,,,,Price Traded Methodology,
2025/08/24,ABFN48,ZAG000170374,ZAG000170374 Corp,ABSA BANK LTD,BANK,Sr Unsecured,59,2023/08/24,24-Aug-25,8.45,JIBAR,100,,99.95277262,99.99907399,-0.04630137,100,100,0,,0,,,,,Price,04-Nov-22,15-May-23,,,,Price Traded Methodology,
2024/03/30,ABFN49,ZAG000173782,ZAG000173782 Corp,ABSA BANK LTD,BANK,Sr Unsecured,4,2023/06/30,30-Mar-24,8.675,JIBAR,85,,101.4184036,100.1587461,1.259657534,100,100,0,,0,,,,,Price,15-May-23,04-Apr-23,,,,Price Traded Methodology,
2026/03/30,ABFN50,ZAG000173790,ZAG000173790 Corp,ABSA BANK LTD,BANK,Sr Unsecured,4,2023/06/30,30-Mar-26,8.815,JIBAR,130,,101.0878859,99.80789958,1.279986301,100,100,0,,0,,,,,Price,29-Mar-23,30-Aug-22,,,,Price Traded Methodology,
2028/03/30,ABFN51,ZAG000173808,ZAG000173808 Corp,ABSA BANK LTD,BANK,Sr Unsecured,4,2023/06/30,30-Mar-28,9.065,JIBAR,131,,101.9541156,100.637828,1.316287671,100,100,0,,0,,,,,Price,15-May-23,27-Mar-23,,,,Price Traded Methodology,
2031/03/30,ABFN52,ZAG000173816,ZAG000173816 Corp,ABSA BANK LTD,BANK,Sr Unsecured,4,2023/06/30,30-Mar-31,9.145,JIBAR,160,,101.1253342,99.79743007,1.32790411,100,100,0,,0,,,,,Price,02-May-23,30-Mar-23,,,,Price Traded Methodology,
2025/02/14,ABFN53,ZAG000183278,ZAG000183278 Corp,ABSA BANK LTD,BANK,Sr Unsecured,49,2023/08/14,14-Feb-25,9.253,JIBAR,102,,100.4146646,100.2372098,0.177454795,100,100,0,,0,,,,,Price,14-Apr-23,27-Mar-23,,,,Price Traded Methodology,
2027/02/14,ABFN54,ZAG000183286,ZAG000183286 Corp,ABSA BANK LTD,BANK,Sr Unsecured,49,2023/08/14,14-Feb-27,9.433,JIBAR,132,,100.2733214,100.0924145,0.180906849,100,100,0,,0,,,,,Price,24-Mar-23,05-Jan-23,,,,Price Traded Methodology,
2029/02/14,ABFN55,ZAG000183294,ZAG000183294 Corp,ABSA BANK LTD,BANK,Sr Unsecured,49,2023/08/14,14-Feb-29,9.583,JIBAR,150,,100.1836944,99.99991081,0.183783562,100,100,0,,0,,,,,Price,16-Mar-23,15-May-23,,,,Price Traded Methodology,
2027/11/08,ABFN56,ZAG000191586,ZAG000191586 Corp,ABSA BANK LTD,BANK,Sr Unsecured,74,2023/09/08,08-Nov-27,8.933,JIBAR,128,,102.4031004,100.5675524,1.835547945,100,100,0,,0,,,,,Price,22-Mar-23,21-Mar-23,,,,Price Traded Methodology,
2025/11/14,ABFN57,ZAG000191859,ZAG000191859 Corp,ABSA BANK LTD,BANK,Sr Unsecured,49,2023/08/14,14-Nov-25,9.283,JIBAR,120,,100.1782435,100.0002134,0.178030137,100,100,0,,0,,,,,Price,16-Nov-22,15-May-23,,,,Price Traded Methodology,
2027/11/14,ABFN58,ZAG000191867,ZAG000191867 Corp,ABSA BANK LTD,BANK,Sr Unsecured,49,2023/08/14,14-Nov-27,9.533,JIBAR,145,,100.1828069,99.99998229,0.182824658,100,100,0,,0,,,,,Price,25-Apr-23,15-May-23,,,,Price Traded Methodology,
2026/04/05,ABFN60,ZAG000193814,ZAG000193814 Corp,ABSA BANK LTD,BANK,Sr Unsecured,9,2023/07/05,05-Apr-26,9.038,JIBAR,108,,101.1577861,99.99398888,1.16379726,100,100,0,,0,,,,,Price,05-Apr-23,15-May-23,,,,Price Traded Methodology,
2028/02/24,ABFN61,ZAG000193822,ZAG000193822 Corp,ABSA BANK LTD,BANK,Sr Unsecured,59,2023/08/24,24-Feb-28,8.77,JIBAR,121,,100.3628527,100.4109075,-0.048054795,100,100,0,,0,,,,,Price,15-May-23,02-May-23,,,,Price Traded Methodology,
2030/02/24,ABFN62,ZAG000193830,ZAG000193830 Corp,ABSA BANK LTD,BANK,Sr Unsecured,59,2023/08/24,24-Feb-30,8.87,JIBAR,136,,100.2385999,100.2872026,-0.04860274,100,100,0,,0,,,,,Price,16-May-23,08-May-23,,,,Price Traded Methodology,
2025/06/27,ABGN01,ZAG000187436,ZAG000187436 Corp,ABSA BANK LTD,BANK,Sr Unsecured,4,2023/06/27,27-Jun-25,8.758,JIBAR,110,,101.4891125,100.1454194,1.343693151,100,100,0,,0,,,,,Price,05-Apr-23,07-Feb-23,,,,Price Traded Methodology,
2027/06/27,ABGN02,ZAG000187428,ZAG000187428 Corp,ABSA BANK LTD,BANK,Sr Unsecured,1,2023/06/27,27-Jun-27,8.988,JIBAR,130,,101.7682553,100.3892744,1.378980822,100,100,0,,0,,,,,Price,26-Apr-23,19-Jan-23,,,,Price Traded Methodology,
2029/06/27,ABGN03,ZAG000187410,ZAG000187410 Corp,ABSA BANK LTD,BANK,Sr Unsecured,1,2023/06/27,27-Jun-29,9.108,JIBAR,154,,101.3989996,100.0016078,1.397391781,100,100,0,,0,,,,,Price,29-Mar-23,20-Nov-22,,,,Price Traded Methodology,
2024/12/03,ABJ01,ZAG000164914,ZAG000164914 Corp,AFRICAN BANK LTD,FINANCIAL,Sr Unsecured,70,2023/09/04,03-Dec-24,11.267,JIBAR,257,,104.1657842,101.6963047,2.469479452,100,100,0,,0,,,,,Price,15-May-23,24-Nov-22,,,,Price Traded Methodology,
2024/03/31,ABJ02,ZAG000175241,ZAG000175241 Corp,AFRICAN BANK LTD,FINANCIAL,Sr Unsecured,4,2023/06/30,31-Mar-24,10.898,JIBAR,155,,102.6715132,101.1189214,1.552591781,100,100,0,,0,,,,,Price,25-Apr-23,23-Jan-23,,,,Price Traded Methodology,
2024/09/14,ABJ03,ZAG000179607,ZAG000179607 Corp,AFRICAN BANK LTD,FINANCIAL,Sr Unsecured,80,2023/09/14,14-Sep-24,10.2,JIBAR,253,,102.1051002,100.176881,1.928219178,100,100,0,,0,,,,,Price,21-Apr-23,20-Apr-23,,,,Price Traded Methodology,
2025/03/30,ABJ04,ZAG000184680,ZAG000184680 Corp,AFRICAN BANK LTD,FINANCIAL,Sr Unsecured,4,2023/06/30,30-Mar-25,10.165,JIBAR,259,,101.4292192,99.95320555,1.476013699,100,100,0,,0,,,,,Price,27-Jan-23,03-Oct-22,,,,Price Traded Methodology,
2027/03/30,ABJ05,ZAG000184698,ZAG000184698 Corp,AFRICAN BANK LTD,FINANCIAL,Sr Unsecured,4,2023/06/30,30-Mar-27,10.575,JIBAR,300,,101.4882091,99.95266115,1.535547945,100,100,0,,0,,,,,Price,19-Dec-22,15-May-23,,,,Price Traded Methodology,
2024/03/13,ABKI04,ZAG000134578,ZAG000134578 Corp,AFRICAN BANK LTD,FINANCIAL,Sr Unsecured,79,2023/09/13,13-Mar-24,5.75,I2025,457,8.155,161.0325746,159.2430578,1.78951675,8.375,7.69,0.02,0.7956506,0.764478993,,123.1060205,0.9580312,,Price,05-Apr-23,21-Sep-22,,,,Inflation Linked Methodology,
2025/01/31,ABN61,ZAG000099565,ZAG000099565 Corp,ABSA BANK LTD,BANK,Sr Unsecured,35,2023/07/31,31-Jan-25,2,I2025,30,3.885,168.00153,166.95405,1.04748,4.105,3.42,0.07,1.6632307,1.631538088,-2.74100905,274.1009051,3.4952568,,Price,25-Jan-23,26-Nov-20,1.722202919,62.50246954,107.6419355,Inflation Linked Methodology,
2028/03/31,ABN62,ZAG000099573,ZAG000099573 Corp,ABSA BANK LTD,BANK,Sr Unsecured,96,2023/09/30,31-Mar-28,2.6,R210,77,4.845,214.71882,213.84243,0.87639,4.845,4.34,0.06,4.5602696,4.452409983,-9.56016281,956.0162811,22.827905,,Price,16-Feb-23,21-Jul-21,2.366008516,45.49515978,107.6419355,Inflation Linked Methodology,
2033/12/07,ABN63,ZAG000099581,ZAG000099581 Corp,ABSA BANK LTD,BANK,Sr Unsecured,164,2023/12/07,07-Dec-33,3.45,R202,50,5.37,237.19069,232.87658,4.31411,5.37,4.89,0.09,8.5959077,8.371142526,-19.85557045,1985.557045,84.3943288,,Price,28-Nov-22,10-Sep-20,2.749522451,39.14932043,107.6419355,Inflation Linked Methodology,
2026/12/21,ABN79,ZAG000106816,ZAG000106816 Corp,ABSA BANK LTD,BANK,Sr Unsecured,178,2023/12/21,21-Dec-26,10.5,R186,-2.5,9.735,106.63527,102.26267,4.3726,9.735,7.935,0.12,2.9584673,2.821147955,-3.00833881,300.8338806,10.4078551,,Price,23-Jul-21,05-Aug-20,,,,Illiquid Methodology,
2025/11/11,ABS16,ZAG000130956,ZAG000130956 Corp,ABSA BANK LTD,BANK,Sr Unsecured,138,2023/11/11,11-Nov-25,10.395,R186,57.5,10.335,100.43133,100.11806,0.31327,10.335,8.35,0.13,2.2351531,2.125326789,-2.13449415,213.4494146,5.8014691,,Rate,08-Mar-23,08-Mar-23,,,,Illiquid Methodology,
2027/11/11,ABS17,ZAG000130980,ZAG000130980 Corp,ABSA BANK LTD,BANK,Sr Unsecured,138,2023/11/11,11-Nov-27,10.635,R186,38.5,10.145,102.0372,101.71669,0.32051,10.145,8.345,0.11,3.6686082,3.491501734,-3.56263043,356.2630425,15.3949548,,Rate,22-Dec-22,15-Mar-22,,,,Illiquid Methodology,
2023/09/26,ABS18,ZAG000139668,ZAG000139668 Corp,ABSA BANK LTD,BANK,Sr Unsecured,92,2023/09/26,26-Sep-23,9.84,R186,-39,9.37,101.60735,100.07069,1.53666,9.37,7.9,0.17,0.352746,0.336959495,-0.34237561,34.2375613,0.2270834,,Rate,02-Mar-23,22-Feb-23,,,,Illiquid Methodology,
2028/02/24,ABS19,ZAG000193848,ZAG000193848 Corp,ABSA BANK LTD,BANK,Sr Unsecured,59,2023/08/24,24-Feb-28,9.67,R186,97,10.73,98.42055,96.11565,2.3049,10.73,9.26,0.1,3.8177442,3.623351378,-3.56612251,356.6122515,16.8403354,,Price,03-May-23,22-Mar-23,,,,Illiquid Methodology,
2026/09/11,ABS7,ZAG000043985,ZAG000043985 Corp,ABSA BANK LTD,BANK,Sr Unsecured,77,2023/09/11,11-Sep-26,8.8,R186,79,10.55,96.91704,95.18115,1.73589,10.55,8.6,0.12,2.8790437,2.734783817,-2.65047146,265.0471457,9.4675846,,Rate,25-Apr-23,20-Apr-23,,,,Illiquid Methodology,
2023/12/07,ABSI2,ZAG000074378,ZAG000074378 Corp,ABSA BANK LTD,BANK,Sr Unsecured,164,2023/12/07,07-Dec-23,5.5,R197,100,4,335.443,327.32079,8.12221,4.9,3.348,-0.17,0.5306691,0.520263855,-1.74518874,174.5188743,0.5319216,,Rate,11-May-23,12-Oct-22,3.247103781,33.15013709,107.6419355,Inflation Linked Methodology,
2024/07/10,ABX01,ZAG000160870,ZAG000160870 Corp,AFRICAN BANK LTD,FINANCIAL,Sr Unsecured,14,2023/07/10,10-Jul-24,10.93,R186,285,12.61,102.22537,98.2726,3.95277,12.61,10.81,0.09,1.0580444,0.995291292,-1.01744013,101.7440129,1.5109182,,Price,17-Mar-23,10-Jul-19,,,,Illiquid Methodology,
2025/12/20,ACL097,ZAG000081845,ZAG000081845 Corp,ABSA BANK LTD,BANK,Sr Unsecured,86,2023/09/20,20-Dec-25,10.183,JIBAR,265,,101.7202292,99.96261548,1.757613699,100,100,0,,0,,,,,Price,11-Jun-19,10-Jun-19,,,,Price Traded Methodology,
2025/12/20,ACL098,ZAG000082074,ZAG000082074 Corp,ABSA BANK LTD,BANK,Sr Unsecured,86,2023/09/20,20-Dec-25,9.983,JIBAR,245,,101.6860234,99.9629302,1.723093151,100,100,0,,0,,,,,Price,11-Jun-19,10-Jun-19,,,,Price Traded Methodology,
2023/12/20,ACL217,ZAG000109794,ZAG000109794 Corp,ABSA BANK LTD,BANK,Sr Unsecured,86,2023/09/20,20-Dec-23,9.643,JIBAR,211,,101.6282194,99.96381117,1.664408219,100,100,0,,0,,,,,Price,19-Nov-19,03-Feb-14,,,,Price Traded Methodology,
2023/09/11,AECI02,ZAG000153982,ZAG000153982 Corp,AECI LIMITED,INDUSTRIAL,Sr Unsecured,77,2023/09/11,11-Sep-23,9.25,JIBAR,115,,101.929263,100.1552904,1.773972603,100,100,0,,0,,,,,Price,29-Nov-22,24-Nov-22,,,,Price Traded Methodology,
2023/11/21,AECI04,ZAG000155235,ZAG000155235 Corp,AECI LIMITED,INDUSTRIAL,Sr Unsecured,56,2023/08/21,21-Nov-23,9.01,JIBAR,135,,100.101526,100.101526,0,100,100,0,,0,,,,,Price,20-Nov-18,11-Nov-21,,,,Price Traded Methodology,
